Id,Title,URL,Date,Description,Categories,Image URL,Source
25,Vox ata corto a sus 1.700 concejales y lamina la autonomía de los grupos municipales,,No Publication Date,El nuevo reglamento interno deja en manos del aparato del partido el nombramiento de cargos en los ayuntamientos y sus empresas públicas,"['España', 'Vox', 'Ultraderecha', 'Partidos políticos', 'Ayuntamientos', 'Política municipal', 'Elecciones municipales 2023', 'Santiago Abascal']",,El País
26,La reforma para acortar el tiempo de instrucción suscita recelos entre los juristas,,No Publication Date,Catedráticos de procesal y abogados penalistas destacan la ineficacia de las dos anteriores modificaciones de la Ley de Enjuiciamiento Criminal,"['España', 'Ley Enjuiciamiento Criminal', 'Amnistía', 'Ley de amnistía', 'Gobierno', 'JuntsxCat', 'Catedráticos', 'Abogados', 'Derecho penal']",,El País
27,"Álvaro Díaz-Mella (Vox): “Me siento español y después soy gallego, de Vigo y del Celta”",,No Publication Date,"“Rueda habla siempre en gallego en público, pero en la intimidad habla castellano”, asegura el candidato del partido ultra a la Xunta","['Elecciones Gallegas', 'Elecciones autonómicas', 'Xunta Galicia', 'Elecciones', 'Galicia', 'Partidos políticos', 'Noticias de España', 'Vox', 'Ultraderecha']",,El País
28,Un reportero de Gaza relata su cautiverio en Israel: “Los peores 33 días de mi vida”,,No Publication Date,Diaa Al Kahlout denuncia torturas e interrogatorios a manos de las fuerzas israelíes antes de ser devuelto a la Franja sin acusaciones,"['Conflicto árabe-israelí', 'Guerra', 'Conflictos', 'Conflictos armados', 'Conflictos internacionales', 'Franja Gaza', 'Israel', 'Hamás', 'Palestina', 'Oriente Próximo', 'Periodismo', 'Periodismo de guerra', 'Prisioneros guerra', 'Víctimas guerra']",,El País
29,El nacionalismo gallego afronta su examen decisivo en su mejor momento,,No Publication Date,"La candidatura de Pontón, disparada en las encuestas, aspira por primera vez a presidir la Xunta y a dejar definitivamente atrás los años de división interna","['Elecciones Gallegas', 'Elecciones autonómicas', 'Xunta Galicia', 'Elecciones', 'Galicia', 'Partidos políticos', 'Noticias de España', 'Ana Pontón', 'BNG', 'Xose Manuel Beiras', 'Anxo Quintana']",,El País
30,"Jakub Józef Orliński, contratenor: “Estoy feliz tras las últimas elecciones en Polonia, hemos salido de algo parecido a la Edad Media”",,No Publication Date,"Es el último fenómeno de la ópera mundial y la música barroca. Fue modelo en su época de estudiante. Tiene carisma y descaro. El polaco aúna, con naturalidad en escena,  el rigor del canto como contratenor y la acrobática espontaneidad del ‘breakdance’ para arrastrar al público más joven","['Cultura', 'Música clásica', 'Música', 'Orquestas', 'Polonia', 'Ópera']",,El País
31,Qué hacer 24 horas en Fráncfort: de Mainhattan a la casa de Goethe y ‘apfelwein’ para cenar,,No Publication Date,"Una ruta por el casco antiguo de la ciudad alemana con paradas en museos, la Alte Oper, las orillas del río Meno y la colegiata de San Bartolomé","['Fráncfort', 'Viajes', 'Turismo ciudad', 'Turismo cultural', 'Rutas turísticas', 'Alemania', 'Johann Wolfgang Goethe', 'Europa']",,El País
32,"Ibrahim Iskandar, el excéntrico multimillonario convertido en el nuevo rey de Malasia que no quiere ser una marioneta",,No Publication Date,"El sultán de Johor tiene una fortuna personal que supera los 750 millones de euros y unos activos familiares que sobrepasan los 5.300 millones. Entre sus caprichos figura una colección de 300 coches de gama alta, una cueva inspirada en ‘Los Picapiedra’ en su palacio y 60.000 cómics de Marvel","['Gente', 'Monarquía', 'Realeza', 'Malasia', 'Dinero', 'Asia']",,El País
33,¿Perseguir a los consumidores de fentanilo? La propuesta mexicana para atajar la pandemia de opiodes ,,No Publication Date,"El presidente, que presentó ante el Congreso 20 reformas, busca prohibir también los vapeadores y cigarrillos electrónicos","['México', 'América', 'Latinoamérica', 'Violencia en México', 'Narcotraficantes', 'Narcotráfico', 'Fentanilo', 'Consumidores', 'AMLO - Andrés Manuel López Obrador', 'Morena (Partido Político)']",,El País
34,"La regulación del consumo de drogas, la primera lanza que rompen los nuevos alcaldes",,No Publication Date,"Los mandatarios de capitales como Medellín, Bucaramanga, Cartagena o Cúcuta han emitido decretos para prohibir el uso de sustancias psicoactivas en algunos espacios públicos ","['Colombia', 'América', 'Latinoamérica', 'Drogas', 'Drogas sintéticas', 'Fico Gutiérrez', 'Carlos Fernando Galán', 'Gobierno Colombia']",,El País
35,"¿Pizza a la japonesa o tortilla nipona a la plancha? No, ‘okonomiyaki’",,No Publication Date,"En la ciudad de Osaka, para cocinar esta elaboración se mezclan todos los ingredientes y luego se vierten en la plancha para cocinarlos. En Hiroshima, los componentes de la receta se añaden uno tras otro en la plancha hasta formar un plato con diferentes capas gruesas ","['Cocina japonesa', 'Japón', 'Cocina tradicional', 'Gastronomía', 'Pulpo', 'Recetas cocina', 'Viajes', 'Asia', 'Tortillas', 'Pizzas']",,El País
36,"El sándwich del Eme, el mejor del mundo, dicen los de Bilbao ",,No Publication Date,"Desde hace 74 años, un bar cerca de la Gran Vía de la capital vizcaína sirve emparedados artesanales con una salsa picante que mantienen en secreto y que no admite imitaciones ","['Bocadillos', 'Sandwiches', 'Bilbao', 'Gastronomía', 'Fútbol', 'Bruce Springsteen', 'Maribel Verdú', 'Políticos', 'Deportistas', 'Guggenheim Bilbao', 'Pan', 'Salsa', 'Mayonesa', 'Jamón cocido', 'Bilbao Athletic']",,El País
37,El paso anacrónico de López Obrador: el endurecimiento de la prisión preventiva oficiosa,,No Publication Date,"El Gobierno propone que los sospechosos de cometer delitos como narcomenudeo o extorsión vayan a la cárcel mientras esperan juicio, a pesar de las críticas de la justicia internacional","['México', 'América', 'Latinoamérica', 'AMLO - Andrés Manuel López Obrador', 'Reformas políticas', 'Suprema Corte de Justicia de la Nación', 'CIDH']",,El País
38,"‘Kierkegaard. El filósofo de la angustia y de la seducción’, de Joakim Garff: un paseo intelectual por la Copenhague del pensador",,No Publication Date,"La excepcional biografía del teólogo Joakim Garff ofrece una detallada descripción del mundo del filósofo danés, de su obra literaria y la mirada de sus contemporáneos","['Soren Aabye Kierkegaard', 'Cultura', 'Libros', 'Crítica literaria', 'Ensayo', 'Filosofía', 'Escritores', 'Literatura']",,El País
39,"España acorta su histórica brecha educativa: “Sin estudios solo hay trabajo en hostelería, y es precario”",,No Publication Date,"El porcentaje de jóvenes que completan la ESO aumenta en 19 puntos, y el abandono escolar temprano cae 18 desde 2008, aproximando a España a la media de la UE","['Educación', 'Sociedad', 'Sistema educativo', 'Política educativa', 'Estudiantes', 'Fracaso escolar', 'Informes Pisa', 'Profesorado', 'Exámenes', 'OCDE', 'Unión Europea', 'Noticias de España', 'Formación', 'Trabajo', 'Empleo', 'Hostelería', 'Jóvenes', 'Ministerio de Educación y Deportes']",,El País
40,Asedios a la democracia en América Latina,,No Publication Date,"A cuarenta años del inicio de las transiciones democráticas, que deshicieron las últimas dictaduras militares, las tendencias autoritarias avanzan desde distintos flancos  ","['América', 'Latinoamérica', 'Norteamérica', 'Centroamérica', 'Sudamérica', 'Noticias de México', 'El Salvador', 'Guatemala', 'Nicaragua', 'Colombia', 'Ecuador', 'Venezuela', 'Cuba', 'Caribe', 'Chile', 'Argentina', 'Jair Bolsonaro', 'Javier Milei', 'Nicolás Maduro', 'Daniel Ortega', 'Rosario Murillo', 'Nayib Bukele']",,El País
41,Quim Gutiérrez: “Conocer a Albert López me generaba dudas éticas: interpretar es hacer un esfuerzo de empatía”,,No Publication Date,"Todavía fresco el bombazo de ‘El cuerpo en llamas’, el actor catalán disfruta de una nueva etapa. Vive en el campo, con su familia, y se embarca en proyectos que muestran la cara oculta del eterno hombre de comedia  ","['Quim Gutiérrez', 'Actores', 'Christian Dior', 'Moda', 'Moda hombre', 'Cine', 'Películas', 'Cine español', 'Cine catalán', 'Cine europeo', 'Guardia Urbana', 'Barcelona', 'Cultura', 'Series crímenes', 'Homicidios', 'Asesinatos', 'Úrsula Corberó', 'Netflix']",,El País
42,Milei declara la guerra a la oposición tras el rechazo a su megaley de desguace del Estado,,No Publication Date,"“No vamos a seguir negociando con quienes exigen mantener sus privilegios”, advierte el presidente al Congreso","['Argentina', 'América', 'Latinoamérica', 'Ultraderecha', 'Javier Milei', 'Economía', 'Privatizaciones']",,El País
43,El chavismo prepara su calendario electoral para ganar “por las buenas o por las malas”,,No Publication Date,"El Consejo Nacional Electoral no ha anunciado fechas, pero el Gobierno avanza hacia unas elecciones sin la oposición representada en la Plataforma Unitaria","['América', 'Latinoamérica', 'Venezuela', 'Nicolás Maduro', 'Política', 'María Corina Machado', 'Oposición política', 'Elecciones']",,El País
44,La Fiscalía de Nueva York destapa una gran trama de corrupción en la agencia de vivienda social de la ciudad,,No Publication Date,Al menos 70 empleados han sido acusados de cobrar sobornos a contratistas en obras menores que no requerían licitación,"['Estados Unidos', 'Nueva York', 'Corrupción urbanística', 'Sobornos', 'Corrupción', 'Vivienda', 'Renta Inmobiliaria', 'Juicios']",,El País
45,"Un país con problemas financieros, el nuevo reto de Bukele en El Salvador",,No Publication Date,"El presidente ha cosechado resultados en materia de seguridad, pero ahora enfrenta problemas estructurales ","['América', 'Latinoamérica', 'El Salvador', 'Nayib Bukele', 'Seguridad ciudadana', 'Pandillas', 'Economía', 'Banco Mundial', 'Homicidios', 'Elecciones']",,El País
46,Por qué los incendios en Chile destruyeron tantas vidas,,No Publication Date,La peor tragedia del país sudamericano desde el terremoto de 2010 ha dejado al menos 131 muertos,"['Chile', 'América', 'Latinoamérica', 'Incendios', 'Incendios forestales', 'Emergencia climática', 'Emergencias']",,El País
