titulo,subtitulo,autor,texto,url,fecha,categoria
Sánchez afirma tener todo el tiempo del mundo al desvincular el 18F de su mandato,"En una conversación con periodistas durante su viaje a Marruecos, dice que no habrá elecciones generales antes del 2027, para intentar frenar la euforia del PP, asegura",Autor no encontrado,"El presidente del Gobierno,  Pedro Sánchez , desvincula los resultados del  PSOE  en Galicia de su gestión al frente del Gobierno y asegura que tiene todo el tiempo del mundo porque no habrá nuevas elecciones generales hasta el 2027.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/sanchez-afirma-tener-tiempo-mundo-desvincular-18f-mandato/00031708521415513425430.htm,21 Feb 2024,Elecciones gallegas
La incoherencia de los republicanos en torno a Putin,La muerte de Navalni enfrenta a los seguidores de Trump con el resto de conservadores,Autor no encontrado,"Hay pocas cosas que no supongan un cisma dentro del  Partido Republicano de EE.UU . en el 2024. El último enfrentamiento ha llegado a raíz de la muerte del disidente ruso Alexéi Navalni, poniendo de manifiesto la falta de coherencia de los conservadores frente a la situación política de Rusia y sus consecuencias sobre la invasión de Ucrania.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/20/incoherencia-republicanos-torno-putin/00031708462293997875898.htm,21 Feb 2024,Categoría no encontrada
"Big Joke, a cargo de la investigación contra Daniel Sancho, sospechoso de aceptar sobornos",No es la primera vez que el subdirector de la policía tailandesa protagoniza una polémica,Autor no encontrado,"El subdirector de la Policía de Tailandia Surachate Hakparn, conocido como  Big Joke  y cara visible de la investigación contra el español  Daniel Sancho , fue señalado este miércoles como  sospechoso en una trama de sobornos .",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/big-joke-cargo-investigacion-contra-daniel-sancho-sospechoso-aceptar-sobornos/00031708526485394981212.htm,21 Feb 2024,Rodolfo Sancho
Desmantelan la terraza en la que una madre vivía de acampada con sus dos hijos por 12 euros diarios,El Ayuntamiento de Santa Cruz de Tenerife ha clausurado esta actividad clandestina que implica multas de entre 15.000 y 30.000 euros,Autor no encontrado,"Una  madre y sus dos hijos , de origen italiano, han estado viviendo en una tienda de campaña en una azotea de una vivienda en  Santa Cruz de  Tenerife  que se alquila desde hace años a través del portal de  alquiler  vacacional  Airbnb  por 12 euros la noche.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/desmantelan-terraza-madre-vivia-acampada-dos-hijos-12-euros-diarios/00031708526098373637366.htm,21 Feb 2024,Alquiler
La UE anuncia nuevas sanciones contra Rusia al borde de los dos años de guerra,Muere un bloguero ruso que denunció graves bajas de su país en Avdivka,Andrés Rey,"La  Unión Europea  llegó el miércoles a un acuerdo para imponer una  nueva ronda de sanciones contra Rusia , la 13.ª desde que empezó la invasión de Ucrania el 24 de febrero del 2022. El paquete, que entrará en vigor en el segundo aniversario del conflicto, «es uno de los más amplios aprobados por la UE», aseguró la presidencia belga del Consejo.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/muere-bloguero-militar-ruso-denuncio-grandes-bajas-pais-avdivka/00031708528660308548325.htm,21 Feb 2024,Rusia
"Dos de las víctimas de abusos del exjesuita Marko Rupnik dan la cara: «Somos muchas, pero nos piden que guardemos silencio»",Dos ex monjas de San Ignacio de Loyola han comparecido ante los medios para dar su testimonio y aseguran que hay decenas de afectadas,Autor no encontrado,"Mirjam Kovak y Gloria Branciani, dos exreligiosas y exmiembros de la Comunidad Ignacio de Loyola, han acusado públicamente de  abusar de al menos 20 religiosas  al sacerdote   Marko Rupnik , antiguo artista jesuita esloveno expulsado de la orden fundada por San Ignacio el año pasado  y cuyo caso está siendo investigado por el  Vaticano , que cuenta con un dosier de investigación que recoge denuncias de todo tipo por hechos acaecidos a lo largo de más de 30 años.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/dos-victimas-abusos-exjesuita-marko-rupnik-dan-cara-piden-guardemos-silencio/00031708530746983373973.htm,21 Feb 2024,Vaticano
"Israel, a un paso de ser descalificada de Eurovisión por una letra «demasiado política»: «No cambiaremos la canción, aún a costa de no participar»","La canción que interpretaría Eden Golan en Malmö se titula «October Rain» y, al parecer, trata sobre los ataques de Hamás sobre Israel del pasado 7 de octubre",Autor no encontrado,"Israel   podría quedarse finalmente fuera del  Festival de  Eurovisión  que se celebra este año en  Malmö . Y todo por la  letra de la canción  presentada por la cadena pública hebrea, que, según se desprende de informaciones de medios del país, habría sido considerada  «demasiado política»  por parte de la  Unión Europea de Radiodifusión (UER) .",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/israel-paso-descalificada-eurovision-letra-politica-cambiaremos-cancion-costa-participar/00031708528617346793672.htm,21 Feb 2024,Eurovisión
Pedro Sánchez reafirma su apoyo a la soberanía de Marruecos sobre el Sáhara Occidental: «Se ha planteado sobre unas bases realistas»,"El jefe del Ejecutivo trasladó al Gobierno marroquí que está «todo listo» para abrir la aduana comercial de Ceuta y reabrir la de Melilla, pero que al país africano le quedan aún cuestiones por resolver",C. Peralta,"Pedro Sánchez reafirmó este miércoles en Rabat, la capital marroquí, que  apoya la propuesta de autonomía de Marruecos para el Sáhara Occidental . El jefe del Ejecutivo reafirmó su  «compromiso con la solución que ha planteado, sobre una base realista, el Gobierno de Marruecos» . En febrero del año pasado, Sánchez y 11 ministros de su Gobierno participaron en una reunión de alto nivel con el Ejecutivo marroquí. De esa cumbre surgió una declaración conjunta que, un año más tarde, para Sánchez «está en vigor y se van a cumplir todos y cada uno de los puntos».",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/pedro-sanchezreafirma-apoyo-soberania-marruecos-sobre-sahara-occidental-planteado-sobre-bases-realistas/00031708536606510590312.htm,21 Feb 2024,Pedro Sánchez
Sumar y Podemos concurrirán por separado en el País Vasco,"Lander Martínez, estrecho colaborador de Yolanda Díaz, recordó que los morados ya eligieron «otro camino» cuando rompieron con ellos en el Congreso",Autor no encontrado,"Sumar  Mugimendua y  Podemos  Euskadi rompieron ayer las negociaciones sobre una posible coalición por «falta de confianza», y se presentarán por separado a las próximas  elecciones vascas , pudo recoger Efe.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/sumar-podemos-concurriran-separado-pais-vasco/0003_202402G22P6994.htm,22 Feb 2024,Sumar
Consumo investiga si la rebaja del IVA a los alimentos se está trasladando a los clientes,Las infracciones de los supermercados pueden acarrear multas de hasta seis veces el beneficio ilícito,Autor no encontrado,"Consumo  ha pedido a las cadenas de  supermercados  e hipermercados información sobre los  precios  a los que han vendido en los últimos meses los productos a los se les aplica la  rebaja del IVA  —vigente hasta el mes de junio—,  como el aceite de oliva o las frutas y verduras, para comprobar si esta se ha trasladado correctamente a los consumidores.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/consumo-investiga-rebaja-iva-alimentos-trasladando-clientes/0003_202402G22P28994.htm,22 Feb 2024,Consumo
